turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,57.58537892837228,0.01736551914061124,1024,233
2,1.7301439168495736,0.577986599993892,1,1465
3,43.333467651992436,0.02307685154649794,97,1540
4,55.91201143920624,0.017885244588049052,619,1708
5,55.885786218676216,0.017893637500009163,1024,2409
6,58.45639350844775,0.017106768652354276,1024,203
7,57.26356759302499,0.017463110351542355,1024,1612
8,0.0,1.037627399986377,0,2809
9,55.560628115527216,0.017998356640617885,1024,2866
10,0.0,0.5790885000023991,0,1452
11,0.0,0.5834612999751698,0,1525
12,0.0,0.6292995999974664,0,1582
13,0.0,0.5787898999988101,0,1643
14,56.950358574815894,0.01755915195312241,1024,1711
15,54.76703604749712,0.01825915865033745,815,2915
16,0.0,0.1746970000094734,0,202
17,58.57954701178066,0.01707080458984933,1024,274
18,56.89738524901163,0.01757550009764941,1024,1411
19,55.67910401257694,0.01796005912333139,981,2708
20,57.25876108111245,0.017464576269532017,1024,1378
21,55.83277016657625,0.017910628417979524,1024,2414
22,0.0,0.18373140000039712,0,185
23,0.0,0.15240890000131913,0,255
24,58.35218567655818,0.017137318652345357,1024,311
25,56.87292032163434,0.017583060520625353,922,1539
26,55.79659095572936,0.017922241894552826,1024,2723
27,57.491543353293146,0.017393862500000523,1024,1442
28,55.66978220463291,0.017963066503909886,1024,2737
29,57.2818496971515,0.017457536816408492,1024,1373
30,55.906481254226804,0.017887013769524174,1024,2605
31,56.94929595629354,0.017559479589834837,1024,1297
32,55.76900725535466,0.017931106347674586,1024,2526
33,57.89558274966317,0.017272474902341628,1024,773
34,56.255806667725686,0.01777594277345429,1024,1955
35,55.118215303641854,0.018142822558587568,1024,3197
36,57.93974166150933,0.017259310644533343,1024,901
37,0.0,0.8289267999934964,0,2186
38,0.0,0.7950885999889579,0,2249
39,0.0,0.8307401000056416,0,2319
40,0.0,0.9142720000236295,0,2381
41,0.0,1.041307900013635,0,2445
42,0.0,0.9276815000048373,0,2509
43,0.0,0.9369756999949459,0,2574
44,0.0,0.9458298000099603,0,2642
45,0.0,1.0040972999995574,0,2707
46,0.0,0.9932937999838032,0,2775
47,0.0,0.9984849999891594,0,2841
48,0.0,1.0344886000093538,0,2892
49,0.0,1.1063781999982893,0,2959
50,0.0,1.117882999998983,0,3027
51,0.0,1.1277869000041392,0,3102
52,0.0,1.1916310999949928,0,3169
53,55.99584187308284,0.0178584688889319,495,1273
54,0.0,0.756107900000643,0,1905
55,0.0,0.8340279000112787,0,1990
56,0.0,0.7913474999950267,0,2068
57,56.15494839295817,0.017807869628910566,1024,2137
58,57.996635583450136,0.01724237949218832,1024,729
59,56.42517395693518,0.017722586035148424,1024,1916
60,54.71891457341954,0.018275216308580866,1024,3034
61,57.34963489985152,0.017436902636717377,1024,1268
62,16.911819420458762,0.05913024347872757,23,2437
63,15.989646495486669,0.06254046956461895,23,2508
64,55.56303088135994,0.017997578320290586,1024,2571
65,57.2596057084531,0.01746431865234399,1024,1293
66,55.77121089441555,0.0179303978515577,1024,2436
67,55.33349358791429,0.01807223681640835,1024,2744
68,58.47590680713001,0.017101060156250014,1024,192
69,57.254510787465534,0.017465872753888334,1024,1430
70,55.82689358208365,0.017912513769545058,1024,2626
71,57.75593315027372,0.01731423847655833,1024,918
72,0.0,0.7526482999965083,0,2198
73,55.76457582953246,0.017932531273203163,809,2267
74,58.76569979178573,0.017016729206716263,832,257
75,57.437319561809616,0.01741028320313376,1024,1400
76,51.801760591130325,0.0193043631835792,1024,2685
77,58.271760975995036,0.0171609709960876,1024,182
78,57.17847281826994,0.01748909949341066,987,1400
79,50.61418709633958,0.019757306347656822,1024,2758
80,57.208583484248976,0.01747989443359188,1024,1382
81,55.77470335823393,0.017929275097657182,1024,2715
82,58.51842292357733,0.017088635510665744,842,181
83,57.42196313155973,0.017414939257804463,1024,1428
84,55.932239097376176,0.017878776464840485,1024,2577
85,57.57319007254397,0.017369195605454024,1024,1227
86,55.98730693397003,0.017861191308583102,1024,2541
87,57.2076949780316,0.01748016591795931,1024,1286
88,55.79249020662152,0.01792355917967825,1024,2559
89,58.38423293658795,0.017127911932766436,595,189
90,57.82214930058222,0.0172944107421813,1024,1021
91,1.175796787485744,0.850487100018654,1,2329
92,56.20897605856025,0.01779075283204179,1024,2401
93,57.247388254178695,0.017468045800796972,1024,1446
94,55.65879882258835,0.01796661123046306,1024,2654
95,57.4340931862618,0.01741126123044978,1024,1343
96,55.85063032536786,0.017904900878903618,1024,2545
97,0.0,0.5790123000042513,0,1382
98,0.0,0.5631121000042185,0,1469
99,0.0,0.5827270000008866,0,1543
100,0.0,0.625543000001926,0,1627
101,0.0,0.691739800007781,0,1701
102,0.0,0.7480882999952883,0,1785
103,56.556660611083416,0.01768138339843972,1024,1853
104,55.064238672118826,0.018160607031262543,1024,3088
105,58.55976054726044,0.01707657255860795,1024,193
106,57.05275454266256,0.017527637499995308,1024,1428
107,0.0,0.9845299000153318,0,2546
108,0.0,1.0337954999995418,0,2615
109,55.53402166018092,0.01800697968749887,1024,2683
110,56.08187002412871,0.017831074455430234,505,1296
111,17.040193691617315,0.05868477894661115,19,1927
112,56.22772642123591,0.017784820117185518,1024,1975
113,12.307976935873821,0.08124812105272308,19,3089
114,41.44764715282568,0.024126821875142923,160,3139
115,58.41431078964439,0.017119092675784486,1024,179
116,48.5592075738704,0.020593416778450432,149,1290
117,56.95376777341903,0.017558100878915184,1024,1520
118,55.515017593736864,0.018013143890506823,1023,2664
119,58.620711783957645,0.017058817089861122,1024,159
120,57.172234802163615,0.017491007714852458,1024,1351
